sensor_060,sensor_104,sensor_511,sensor_432,sensor_431,sensor_022,sensor_029,sensor_130,sensor_211,sensor_164,sensor_125,sensor_161,sensor_317,sensor_122,sensor_126,sensor_027,sensor_248,sensor_034,sensor_181,sensor_123,result
0.12,-0.0092,64.3929,16.3897,18.4211,-5434.0,65.1667,-0.4258,0.0954,0.13,15.84,429.0,6.7289,15.87,1.045,2.0095,,8.6397,21.52,3.15,양품
-3.6564,-0.0072,42.9066,14.1674,12.5794,-5310.25,66.3556,0.0473,0.1077,0.087,15.88,385.0,6.6914,15.86,1.087,1.9715,,8.6397,21.56,3.361,양품
18.3936,-0.0108,60.1156,234.9546,212.6302,-2664.25,62.5,-0.4731,0.1312,0.915,16.03,3623.0,5.1588,15.96,0.9838,0.8915,0.2587,9.2007,19.27,3.034,불량
15.3536,-0.0076,60.3279,209.1896,200.0932,-2681.75,64.6778,0.0946,0.1883,0.89,15.7,3130.0,5.7899,15.73,0.7285,0.8862,0.0225,8.7487,18.48,1.877,양품
2.9964,-0.0071,65.8494,228.3244,218.5144,-2706.0,67.0333,-0.615,0.0403,0.95,16.01,3301.0,5.196,15.98,0.9365,0.8895,,8.6942,14.56,3.421,양품
-6.9155,-0.0062,48.0962,23.6455,9.6583,-5611.75,68.0333,-0.615,0.0488,0.148,16.01,647.0,5.45,15.98,0.9365,2.0137,,9.7997,17.88,3.421,양품
17.3873,-0.0078,69.6774,15.3734,8.4746,-5369.0,62.8889,-0.0473,0.1627,0.088,16.05,420.0,4.4239,15.98,0.9554,2.0017,0.0332,8.9336,14.36,3.759,양품
13.1136,-0.0087,60.6581,26.9298,13.8764,-5217.5,66.1667,-0.615,0.1782,0.084,16.01,812.0,4.1865,15.98,0.9365,1.802,0.0597,8.8388,13.94,3.421,양품
14.7073,-0.0112,51.8436,23.2998,4.6529,-5416.0,65.6333,-0.0473,0.1696,0.16,15.93,603.0,6.2102,15.93,0.6055,1.9817,0.0635,8.7588,20.91,2.647,양품
29.5109,-0.0098,49.1677,14.8202,9.7264,-5500.5,68.6444,-0.0473,0.1818,0.089,16.05,406.0,4.6253,15.98,0.9554,1.9888,0.0292,23.3453,15.28,3.759,양품
13.1482,-0.0093,59.4595,10.2928,5.6387,-5497.75,65.3667,-0.615,0.1694,0.159,16.01,261.0,5.8491,15.98,0.9365,1.9773,0.1551,8.8033,18.81,3.421,양품
-3.3864,-0.0087,67.6218,15.0156,12.1828,-5507.75,62.6667,0.0946,0.1038,0.036,15.87,396.0,5.3701,15.89,0.3122,1.9745,,9.1283,15.54,2.322,양품
4.4036,-0.0084,37.9822,226.5161,212.5834,-2622.5,65.4556,0.0946,0.0851,0.918,15.87,3511.0,4.6444,15.89,0.3122,0.8912,,8.8249,14.57,2.322,양품
17.5473,-0.0093,78.7062,19.959,34.2415,-6010.25,66.8889,-0.0473,0.1412,0.06,15.93,560.0,4.6263,15.93,0.6055,1.7778,0.0974,8.9336,14.83,2.647,양품
-10.1245,-0.006,95.0,4.4748,9.571,-5548.0,66.4778,0.0946,0.1033,0.081,15.87,118.0,4.5125,15.89,0.3122,2.0092,,10.0686,15.31,2.322,양품
13.9782,-0.0091,75.513,400.0,400.0,-1362.0,65.2667,-0.0473,0.1515,0.896,15.93,2841.0,4.5344,15.93,0.6055,0.4407,0.0231,8.7588,15.56,2.647,양품
13.4891,-0.0087,57.2246,9.4785,11.3154,-5452.75,65.2222,-0.0473,0.1618,0.067,15.93,244.0,5.9735,15.93,0.6055,1.9728,0.0306,8.7588,19.74,2.647,양품
24.9027,-0.0033,172.0755,10.1549,1.3288,-5493.75,68.3222,-0.0473,0.1423,0.095,15.93,259.0,4.0902,15.93,0.6055,2.0135,0.0267,8.659,14.17,2.647,불량
23.4736,-0.0093,40.7507,18.0311,3.0404,-5525.5,70.5111,-1.108,0.0938,0.151,15.96,484.0,5.4109,15.98,1.483,2.0092,0.0268,23.3453,13.98,3.207,양품
15.1509,-0.0085,75.2941,119.356,36.3404,-5085.25,63.5111,-0.0473,0.1431,0.173,15.93,4170.0,4.1708,15.93,0.6055,1.9875,0.07,9.1585,13.94,2.647,불량
-2.6636,-0.0077,21.9709,6.4464,1.2797,-5626.25,64.1778,0.0946,0.0475,0.104,15.87,179.0,5.8979,15.89,0.3122,1.987,,8.6074,22.25,2.322,양품
-2.4636,-0.0082,70.5167,8.0984,47.52,-6033.25,62.2889,0.0946,0.058,0.057,15.87,214.0,4.9579,15.89,0.3122,1.97,,9.1502,14.82,2.322,양품
19.3136,-0.0088,42.1053,6.3449,13.35,-5415.75,69.0,-1.204,0.1738,0.115,16.1,163.0,4.2384,15.93,1.252,2.0063,0.0346,10.6376,13.35,3.861,양품
8.3045,-0.0068,76.8946,154.0144,159.9873,-4731.0,60.8444,-0.4258,0.0732,0.926,15.83,3309.0,5.5408,15.82,1.125,1.3322,0.0375,9.1585,18.05,3.2,양품
5.03,-0.0056,113.0045,7.2168,5.3908,-5546.5,69.0667,-0.4258,0.056,0.068,15.83,190.0,5.3607,15.82,1.125,1.9992,0.2139,10.6376,18.38,3.2,불량
12.0945,-0.0071,41.0619,215.9856,231.6367,-3281.0,63.1333,0.0946,0.0633,0.901,15.9,3290.0,5.1749,15.87,1.021,0.8885,0.1467,8.7487,17.38,3.628,양품
23.1373,-0.008,42.7002,150.8276,163.9724,-4667.25,61.8667,0.0946,0.0871,0.947,15.9,3417.0,4.9516,15.87,1.021,1.3305,0.0221,9.2007,17.25,3.628,양품
25.0382,-0.0091,96.9697,20.7906,2.0565,-5300.25,69.0667,-1.108,0.0806,0.208,15.96,547.0,4.7265,15.98,1.483,2.0105,0.1918,23.3453,17.48,3.207,불량
23.3109,-0.0078,18.0064,6.459,13.6863,-5553.0,69.5556,-0.4258,0.0843,0.103,15.83,169.0,5.1077,15.82,1.125,2.0433,0.0421,8.7495,17.35,3.2,불량
23.9555,-0.0094,49.0667,14.0364,2.9106,-5394.0,68.3556,-0.4258,0.0442,0.145,15.83,368.0,5.5385,15.82,1.125,2.0032,0.0244,23.3453,20.02,3.2,불량
21.39,-0.007,90.4847,213.2729,209.3186,-2575.5,64.4222,-0.1419,0.0932,0.891,15.82,3294.0,4.665,15.82,0.9933,0.892,0.0354,8.7487,13.41,3.434,양품
1.5882,-0.0075,67.8869,7.993,15.1676,-5175.5,67.2667,-0.1419,0.0597,0.163,15.82,207.0,5.5737,15.82,0.9933,2.0,0.2956,10.6376,19.17,3.434,양품
0.6782,-0.0078,50.0803,10.061,8.0072,-5545.0,64.0778,0.0946,0.0569,0.125,15.9,264.0,4.3439,15.87,1.021,1.9772,,8.8249,12.51,3.628,양품
20.0455,-0.007,200.7117,143.914,169.3746,-4520.75,62.3667,0.0946,0.064,0.906,15.9,3278.0,5.3269,15.87,1.021,1.3458,0.1959,9.1784,16.84,3.628,양품
21.8964,-0.0087,33.1903,22.7771,9.5008,-5683.75,64.7111,0.0946,0.0701,0.1,15.9,618.0,5.4366,15.87,1.021,1.9597,0.0583,9.1784,18.02,3.628,양품
22.8809,-0.0037,111.9454,6.498,12.4897,-5460.5,70.0889,0.0473,0.1543,0.074,15.81,174.0,5.6503,15.78,1.021,2.031,0.0503,8.7599,16.39,3.584,양품
2.5209,-0.0055,101.1287,400.0,400.0,-1368.75,63.4,-0.1419,0.0648,0.901,15.82,2615.0,5.1458,15.82,0.9933,0.4425,0.0267,8.7487,17.56,3.434,불량
15.9527,-0.0101,31.6049,140.2004,171.6735,-4490.5,63.6,-0.615,0.1326,0.894,15.71,3253.0,6.4035,15.78,1.05,1.3438,0.0297,9.1784,20.7,3.564,불량
-1.6545,-0.0066,80.0,13.0901,15.037,-5433.25,66.7222,0.1892,0.1558,0.141,15.72,357.0,5.5012,15.73,0.8467,2.0187,,9.7997,17.59,2.96,양품
6.7391,-0.0038,102.6316,14.9004,10.3936,-5493.75,68.0222,0.0,0.1509,0.103,15.68,387.0,6.0092,15.72,0.8703,1.9828,0.0385,10.6376,22.05,3.327,양품
13.8118,-0.0033,218.1818,215.9742,210.8972,-2597.0,63.9778,0.0473,0.1613,0.899,15.73,3184.0,4.3153,15.74,0.9034,0.891,0.1661,8.7588,13.6,3.133,양품
18.3209,-0.0057,66.5208,9.969,12.02,-5507.5,68.0,0.0473,0.1848,0.082,15.73,265.0,5.115,15.74,0.9034,1.9905,0.0818,8.7599,15.71,3.133,불량
16.4582,-0.0057,87.7193,21.4787,21.4027,-5667.5,63.5778,0.3311,0.1703,0.088,15.76,528.0,5.2632,15.71,0.9365,2.012,0.0165,9.2405,16.9,3.478,양품
9.05,-0.0057,74.7826,28.4629,10.8874,-5501.75,68.1222,0.0,0.0672,0.138,15.78,768.0,4.4627,15.81,1.21,2.0062,0.1343,8.7495,13.52,3.566,불량
18.8309,-0.0064,54.5809,17.4794,18.2815,-5382.5,67.8444,0.0,0.0644,0.094,15.83,457.0,5.9995,15.82,0.9649,2.01,0.0221,8.7495,16.23,3.448,양품
18.2809,-0.0053,89.9297,17.6323,2.6152,-5659.25,65.1667,0.0,0.0476,0.149,15.83,458.0,4.5431,15.82,0.9649,2.0077,0.0275,8.6324,14.84,3.448,양품
19.8,-0.0074,53.6913,15.4802,9.1419,-5349.0,61.6222,0.0,0.052,0.107,15.83,411.0,5.3492,15.82,0.9649,1.9663,0.0457,9.2658,15.62,3.448,양품
11.6818,-0.007,68.8172,12.2749,9.791,-5597.0,65.6333,0.0,0.2135,0.079,15.83,317.0,4.3109,15.82,0.9649,1.9752,0.0251,8.8033,14.41,3.448,양품
22.4345,-0.0054,102.3256,5.4174,15.3111,-5440.5,68.3444,0.0,0.1816,0.108,15.83,140.0,4.9353,15.82,0.9649,2.0045,0.0947,8.7599,13.84,3.448,양품
17.1627,-0.007,54.5781,23.6738,10.5802,-5614.25,68.3,0.0,0.0481,0.177,15.83,656.0,4.6734,15.82,0.9649,1.9745,0.0489,9.6272,15.3,3.448,양품
25.4573,-0.0046,111.4754,8.2913,5.5651,-5534.5,70.7667,-0.3311,0.1203,0.14,15.74,218.0,4.7397,15.73,1.031,2.018,0.0439,8.7599,15.88,3.776,양품
20.5509,-0.0031,174.8988,224.9444,214.5513,-2649.25,63.3444,0.0473,0.0678,0.913,15.83,3287.0,4.9899,15.78,0.9933,0.8882,0.0545,8.7487,15.49,3.62,양품
18.6827,-0.0078,51.4469,16.1158,4.8251,-5554.25,65.4667,-0.3311,0.1816,0.086,15.74,423.0,5.7303,15.73,1.031,2.021,0.0398,8.8388,19.23,3.776,양품
25.4427,-0.0055,76.0181,21.9459,10.0975,-6566.0,65.2889,0.8042,0.0758,0.113,15.87,653.0,4.0636,15.88,0.7947,1.8762,0.2188,9.094,10.9,2.438,양품
17.6373,-0.0063,65.3386,110.4286,6.876,-5613.75,64.8111,0.0473,0.081,0.145,15.83,3775.0,5.2115,15.78,0.9933,1.99,0.1725,8.7588,15.1,3.62,양품
24.3509,-0.005,90.0,20.0458,7.6682,-6546.5,64.6444,0.8042,0.0692,0.122,15.87,613.0,4.4431,15.88,0.7947,1.8822,0.1739,9.094,17.39,2.438,양품
12.0627,-0.0071,79.292,27.6994,7.4841,-5652.0,64.6222,0.8042,0.082,0.093,15.87,751.0,3.8954,15.88,0.7947,1.9457,0.0445,9.1784,12.74,2.438,양품
9.5227,-0.0053,54.8463,27.2585,32.5985,-6656.75,60.9222,0.0473,0.0603,0.074,15.83,786.0,3.9957,15.78,0.9933,1.7797,0.1574,9.1585,13.28,3.62,양품
22.9245,-0.0061,98.3607,6.03,8.8709,-5681.5,67.5333,-0.3311,0.1577,0.08,15.74,161.0,4.746,15.73,1.031,1.9998,0.0958,8.7495,15.1,3.776,양품
9.3336,-0.0092,39.2906,38.937,5.6163,-5537.5,64.0,0.8042,0.0517,0.057,15.87,967.0,4.49,15.88,0.7947,1.9648,0.1755,9.1784,14.62,2.438,양품
12.5391,-0.0071,56.6372,3.2325,7.0664,-5349.25,68.5444,-0.4731,0.1474,0.097,15.83,82.0,4.3171,15.83,1.05,2.0063,0.0607,10.6376,14.45,3.777,양품
12.4309,-0.0063,68.6627,15.6819,7.7151,-5495.75,62.8333,0.0,0.0546,0.152,15.78,424.0,5.3995,15.81,1.21,1.9688,0.1832,9.2658,18.43,3.566,불량
28.6355,-0.0053,68.2464,19.359,8.085,-6518.25,67.5222,-0.4731,0.0809,0.094,15.83,595.0,5.2164,15.83,1.05,1.8967,0.0649,8.6667,14.37,3.777,양품
8.6927,-0.006,85.5346,144.6055,171.0053,-4556.0,62.6556,0.0473,0.1767,0.899,15.83,3267.0,4.1082,15.78,0.9933,1.3362,0.0442,9.1784,12.11,3.62,양품
-5.3055,-0.0054,46.62,9.2745,9.7561,-5432.5,64.1667,-0.4731,0.059,0.109,15.83,248.0,5.2837,15.83,1.05,2.0345,,8.9336,16.04,3.777,양품
-8.7491,-0.0066,30.4762,12.322,13.1214,-5677.75,66.6889,-0.4731,0.0706,0.169,15.83,344.0,4.8942,15.83,1.05,1.9985,,8.755,12.24,3.777,양품
26.6582,-0.004,62.6959,25.1799,26.8362,-6174.5,68.9222,0.0,0.1362,0.139,15.74,735.0,5.2537,15.75,0.9082,1.881,0.1351,8.7947,19.13,3.276,양품
28.7064,-0.0047,77.2118,4.1402,5.5144,-5367.75,68.2222,0.0,0.1644,0.097,15.74,106.0,6.8114,15.75,0.9082,2.0093,0.3297,8.7947,22.4,3.276,양품
-8.2255,-0.0053,76.815,20.6968,9.8456,-5393.25,66.0889,,0.0462,0.194,,551.0,4.7156,,,1.9872,,8.8249,13.17,,양품
28.1191,-0.0049,122.7621,15.1577,10.332,-5594.25,61.2556,0.0,0.1548,0.096,15.74,447.0,5.2147,15.75,0.9082,1.8807,0.1551,9.3851,18.02,3.276,양품
8.6673,-0.0071,76.5957,232.4752,213.9561,-2665.5,67.0222,-0.3311,0.0643,0.957,15.74,3454.0,4.6593,15.73,1.031,0.8912,,8.6942,14.74,3.776,양품
3.8509,-0.0061,99.389,9.0616,9.535,-5527.0,60.9111,0.0473,0.0622,0.077,15.83,232.0,5.469,15.78,0.9933,1.984,,9.1502,18.54,3.62,양품
-15.1964,-0.0063,87.3016,144.7031,164.3363,-4695.25,65.2,,0.1261,0.954,,3046.0,4.2296,,,1.3355,,8.8388,15.78,,양품
-6.4836,-0.0054,115.3488,17.4908,12.0732,-5491.5,64.8,0.7569,0.0319,0.133,15.68,451.0,4.1415,15.7,0.894,1.9898,,8.6942,11.5,3.428,양품
-11.2182,-0.0058,65.2361,14.7059,11.3303,-5463.25,65.3,,0.0415,0.178,,390.0,4.2605,,,2.0063,,9.7997,12.81,,양품
11.5591,-0.0052,117.8744,213.7496,210.022,-2609.25,62.7556,0.0473,0.1176,0.895,15.83,3218.0,4.1373,15.78,0.9933,0.8925,0.0461,8.7588,12.1,3.62,불량
28.4227,-0.005,116.5829,15.8153,3.0376,-5497.75,67.1556,0.0473,0.138,0.177,15.76,411.0,5.2979,15.71,1.026,2.0083,0.2973,8.7947,16.91,3.617,양품
24.4727,-0.005,100.7557,14.8199,10.7203,-5522.25,61.7444,0.0473,0.1133,0.085,15.76,435.0,5.7258,15.71,1.026,1.87,0.0987,9.3851,20.14,3.617,양품
5.1345,-0.006,103.3333,400.0,400.0,-1502.75,60.5,0.0,0.1217,0.947,15.74,2426.0,5.3251,15.75,0.9082,0.4368,0.4075,9.2007,17.05,3.276,양품
24.8064,-0.0062,45.0704,12.1608,6.467,-5443.0,67.8111,0.0473,0.1419,0.114,15.76,307.0,7.6145,15.71,1.026,1.9935,0.0545,8.7947,23.74,3.617,양품
27.6182,-0.0037,92.2034,4.5083,5.928,-5668.0,64.0,0.1419,0.1999,0.056,15.66,127.0,4.9451,15.69,0.9318,1.853,0.0418,9.3851,15.55,3.663,양품
20.5864,-0.0069,70.6306,26.2437,2.6774,-6274.75,66.2556,0.1419,0.1689,0.134,15.66,790.0,4.4596,15.69,0.9318,1.8835,0.1698,10.9634,13.45,3.663,양품
27.6655,-0.0051,101.4634,18.947,9.8404,-5609.5,61.7667,0.0473,0.1558,0.095,15.76,556.0,5.2551,15.71,1.026,1.8678,0.0463,9.3851,16.9,3.617,양품
29.0264,-0.0056,42.5721,21.505,4.6553,-6487.25,65.7333,0.7569,0.1476,0.106,15.68,633.0,4.6683,15.7,0.894,1.8753,0.0623,9.094,12.7,3.428,양품
27.7364,-0.0066,85.3333,18.2031,9.7933,-6361.5,66.9778,0.0,0.0531,0.108,15.74,544.0,3.9228,15.75,0.9082,1.8895,0.0249,10.9634,10.64,3.276,양품
24.8282,-0.0059,64.6809,26.1707,6.0178,-6514.0,61.6444,0.7569,0.16,0.113,15.68,795.0,4.1939,15.7,0.894,1.882,0.0252,9.1638,14.11,3.428,양품
24.6118,-0.0064,73.0097,18.1623,8.133,-6541.25,65.4333,0.7569,0.158,0.112,15.68,549.0,3.7815,15.7,0.894,1.8858,0.0471,9.094,15.23,3.428,양품
27.7155,-0.0075,27.8607,19.4195,24.6734,-5147.25,62.9667,0.7569,0.1298,0.107,15.68,470.0,4.2139,15.7,0.894,1.983,0.199,9.094,14.45,3.428,양품
23.7864,-0.0068,49.8168,23.0036,5.9363,-6485.5,63.6444,0.0473,0.1524,0.126,15.76,700.0,4.8339,15.71,1.026,1.888,0.1278,9.1638,15.72,3.617,양품
20.6,-0.0054,127.4827,10.5076,12.9784,-5409.0,68.3333,-0.1419,0.0386,0.138,15.64,280.0,5.5196,15.7,1.012,1.9937,0.0705,8.9336,17.76,3.865,양품
29.7509,-0.005,151.5152,21.2752,6.0189,-6463.0,67.4,0.0473,0.0517,0.109,15.76,644.0,3.8059,15.71,1.026,1.8718,0.028,8.6667,13.9,3.617,양품
23.9945,-0.0066,66.7932,16.2905,4.8859,-5301.0,63.3556,0.0,0.1404,0.155,15.74,397.0,5.4282,15.75,0.9082,1.9775,0.0273,9.2658,18.23,3.276,양품
16.7909,-0.0055,78.0045,21.031,3.758,-5401.75,70.1667,-0.1419,0.1167,0.19,15.64,562.0,5.6383,15.7,1.012,2.019,0.0459,8.7495,18.16,3.865,양품
23.7136,-0.0057,68.5714,19.8961,10.4161,-6470.75,64.6556,0.0473,0.161,0.095,15.76,613.0,5.8419,15.71,1.026,1.8893,0.121,10.9634,19.42,3.617,양품
18.5764,-0.004,65.2038,6.6285,12.7376,-5432.75,60.2667,0.0,0.1134,0.067,15.74,171.0,4.4137,15.75,0.9082,1.9748,0.0385,9.2405,14.42,3.276,불량
24.2918,-0.0051,136.9193,23.5008,61.4163,-5856.75,62.2111,0.0473,0.1296,0.115,15.76,725.0,6.0972,15.71,1.026,1.8845,0.1286,9.1638,17.8,3.617,양품
25.5127,-0.0044,77.2727,17.7651,14.0162,-5657.75,64.7111,-0.1419,0.0539,0.098,15.64,467.0,4.3933,15.7,1.012,1.97,0.0641,9.094,11.63,3.865,양품
26.7064,-0.0062,54.6185,5.9174,12.8939,-5560.75,63.9444,0.0,0.1619,0.126,15.74,154.0,4.8126,15.75,0.9082,1.9817,0.0462,9.2658,13.41,3.276,양품
8.9136,-0.0039,93.9683,13.2701,3.8361,-5474.25,65.7778,-0.3311,0.1191,0.062,15.73,336.0,4.0809,15.74,1.087,1.9945,0.1677,10.6376,13.58,3.316,양품
8.9418,-0.0017,301.4493,11.9534,8.2136,-5600.5,68.2556,-0.1419,0.0373,0.116,15.65,326.0,5.1314,15.65,0.9838,1.977,0.0748,9.6272,14.37,3.785,양품
6.9918,-0.0057,58.1498,25.179,40.8816,-6068.75,67.1778,-0.1419,0.1442,0.073,15.64,712.0,4.291,15.7,1.012,1.779,0.1185,10.0686,13.84,3.865,양품
16.6036,-0.0062,77.1084,14.1199,9.2716,-5306.5,67.5778,0.6623,0.0951,0.191,15.8,374.0,5.4277,15.79,0.9176,1.9827,0.021,9.6272,16.53,3.609,양품
16.5255,-0.0017,243.4783,18.8253,31.6571,-6030.25,63.1444,-0.0946,0.1374,0.14,15.74,500.0,5.0727,15.81,1.035,1.9933,0.1853,9.2405,16.86,3.628,양품
29.1918,-0.005,88.665,36.6957,3.6436,-5653.75,65.4778,-0.3784,0.0654,0.136,15.74,854.0,5.9941,15.74,1.021,2.0232,0.1409,8.7947,18.15,3.901,양품
10.08,-0.004,82.243,23.4882,20.8924,-5418.25,61.8778,0.6623,0.1399,0.101,15.8,604.0,4.9691,15.79,0.9176,1.9705,0.0337,9.0998,13.18,3.609,양품
3.9055,-0.0068,61.7647,17.8636,4.7153,-5641.25,61.8333,0.7569,0.054,0.071,15.68,472.0,4.3009,15.7,0.894,1.9843,0.0182,9.2405,14.19,3.428,양품
26.6527,-0.0059,79.661,17.9902,5.2902,-5538.5,68.4333,0.3311,0.1159,0.153,15.7,461.0,7.4134,15.7,1.272,2.0003,0.0255,8.7947,23.05,3.653,양품
17.6864,-0.0047,113.0667,4.0212,6.5948,-5261.75,66.9333,-0.0946,0.0499,0.111,15.74,108.0,5.7063,15.81,1.035,1.993,0.0353,8.9336,17.03,3.628,양품
15.0182,-0.0059,62.5793,22.7996,15.7129,-5587.75,61.6778,-0.0946,0.0598,0.15,15.74,566.0,4.593,15.81,1.035,1.9705,0.1931,9.2658,15.21,3.628,양품
15.7936,-0.0056,89.6861,13.4279,10.4673,-5531.5,69.3333,-0.0946,0.0461,0.06,15.74,355.0,4.0226,15.81,1.035,2.0303,0.2107,8.7495,11.65,3.628,양품
6.6636,-0.0067,44.8598,16.9847,10.1901,-5456.25,67.6333,0.0,0.1645,0.18,15.74,445.0,5.0305,15.75,0.9082,1.9972,0.2239,9.6272,12.77,3.276,불량
10.2109,-0.0045,93.3333,8.3366,10.3981,-5683.75,63.2778,0.6623,0.13,0.206,15.8,212.0,5.1929,15.79,0.9176,2.0173,0.0191,9.1502,18.14,3.609,양품
-19.1518,-0.0056,52.0179,27.894,36.0465,-6563.75,66.0556,,0.088,0.077,,847.0,4.9213,,,1.8005,,8.8388,13.59,,양품
22.2164,-0.0041,104.2424,17.9979,3.238,-5559.0,63.9,-0.0473,0.0521,0.151,15.74,467.0,4.0774,15.72,1.097,1.9682,0.0224,9.2658,11.92,3.937,양품
25.8364,-0.007,46.9751,8.7794,10.3641,-5499.75,63.3778,0.3311,0.0623,0.115,15.7,228.0,4.7194,15.7,1.272,1.9685,0.1115,9.2658,14.39,3.653,양품
25.9591,-0.0093,64.1711,19.6439,2.0619,-6353.5,67.6556,0.3311,0.1596,0.092,15.7,593.0,3.7323,15.7,1.272,1.8835,0.0667,8.6667,13.23,3.653,양품
23.8864,-0.005,83.3747,23.4395,10.4709,-6599.25,63.5778,-0.3784,0.1282,0.09,15.74,721.0,4.3832,15.74,1.021,1.8888,0.058,9.1638,13.76,3.901,양품
23.0364,-0.0068,56.0886,25.3041,7.5466,-6413.5,67.3111,0.3311,0.1308,0.137,15.7,775.0,5.6844,15.7,1.272,1.8873,0.0568,10.9634,19.92,3.653,양품
22.7418,-0.0062,46.9636,23.0048,5.5864,-6569.5,63.8444,0.6623,0.1244,0.08,15.8,681.0,4.8832,15.79,0.9176,1.8785,0.0421,9.1638,15.77,3.609,양품
-9.2836,-0.0034,162.3188,19.434,6.4038,-6480.5,65.9556,-0.615,0.0606,0.115,15.78,594.0,6.4762,15.81,1.097,1.8815,,9.043,16.83,3.877,양품
-17.9336,-0.0045,103.8674,10.7508,5.1852,-6364.25,65.8333,-0.615,0.0752,0.07,15.78,329.0,6.2982,15.81,1.097,1.888,,9.043,18.72,3.877,양품
